x (μm),y (μm),S2 (μM),I2 (μM),Th2 (μM)
5293.614572690529,20.0,0.09977311098025776,0.0,0.0
5296.616252411672,20.0,0.09939422041664664,0.0,0.0
5299.617932132813,20.0,0.09901597539676422,0.0,0.0
5302.619611853956,20.0,0.09863839372727742,0.0,0.0
5305.621291575097,20.0,0.09826149274798,0.0,0.0
5308.6229712962395,20.0,0.0978852893385215,0.0,0.0
5311.6246510173805,20.0,0.09750979992517354,0.0,0.0
5314.626330738523,20.0,0.09713504048761969,0.0,0.0
5317.628010459664,20.0,0.09676102656577037,0.0,0.0
5320.629690180807,20.0,0.09638777326658945,0.0,0.0
5323.631369901948,20.0,0.09601529527093386,0.0,0.0
5326.633049623091,20.0,0.09564360684039377,0.0,0.0
5329.634729344232,20.0,0.09527272182413488,0.0,0.0
5332.636409065375,20.0,0.09490265366573057,0.0,0.0
5335.638088786516,20.0,0.09453341540998648,0.0,0.0
5338.639768507659,20.0,0.09416501970974492,0.0,0.0
5341.6414482288,20.0,0.09379747883267231,0.0,0.0
5344.643127949943,20.0,0.09343080466801791,0.0,0.0
5347.644807671084,20.0,0.0930650087333468,0.0,0.0
5350.646487392227,20.0,0.09270010218123606,0.0,0.0
5353.648167113368,20.0,0.0923360958059373,0.0,0.0
5356.649846834511,20.0,0.09197300004999508,0.0,0.0
5359.651526555652,20.0,0.09161082501082485,0.0,0.0
5362.653206276795,20.0,0.09124958044723984,0.0,0.0
5365.654885997936,20.0,0.09088927578593119,0.0,0.0
5368.656565719079,20.0,0.09052992012789123,0.0,0.0
5371.65824544022,20.0,0.09017152225478421,0.0,0.0
5374.6599251613625,20.0,0.0898140906352551,0.0,0.0
5377.6616048825035,20.0,0.08945763343118064,0.0,0.0
5380.663284603646,20.0,0.08910215850385393,0.0,0.0
5383.664964324787,20.0,0.08874767342010723,0.0,0.0
5386.66664404593,20.0,0.0883941854583638,0.0,0.0
5389.668443707709,20.0,0.08804168753013156,0.0,0.0
5392.67115297762,20.0,0.08769009405292992,0.0,0.0
5395.676092169286,20.0,0.08733925848019755,0.0,0.0
5398.685100539587,20.0,0.08698897540322983,0.0,0.0
5401.701543397379,20.0,0.08663886477921347,0.0,0.0
5404.731599363453,20.0,0.08628822583022215,0.0,0.0
5407.786683047698,20.0,0.08593576288653917,0.0,0.0
5410.888122524616,20.0,0.08557905758329211,0.0,0.0
5414.076599243694,20.0,0.0852135065415738,0.0,0.0
5417.432673089157,20.0,0.08483001735098215,0.0,0.0
5421.1271049063125,20.0,0.08440937300316288,0.0,0.0
5425.569244240654,20.0,0.08390565682721919,0.0,0.0
5431.97850105199,20.0,0.0831826628992616,0.0,0.0
5445.195178199789,20.0,0.08170420051702876,0.0,0.0
5473.8843358428985,20.0,0.07855958246586531,0.0,0.0
5513.284980957676,20.0,0.07442951012011653,0.0,0.0
5553.284980957676,20.0,0.07043447821049462,0.0,0.0
5593.284980957676,20.0,0.06663474382277468,0.0,0.0
5633.284980957676,20.0,0.0630256891542051,0.0,0.0
5673.284980957676,20.0,0.05960135468107862,0.0,0.0
5713.284980957676,20.0,0.05635494490870775,0.0,0.0
5753.284980957676,20.0,0.05327918644918393,0.0,0.0
5793.284980957676,20.0,0.05036657961242459,0.0,0.0
5833.284980957676,20.0,0.047609573902351696,0.0,0.0
5873.284980957676,20.0,0.04500068936199775,0.0,0.0
5913.284980957676,20.0,0.04253259941367137,0.0,0.0
5953.284980957676,20.0,0.04019818628448282,0.0,0.0
5993.284980957676,20.0,0.037990576870234605,0.0,0.0
6033.284980957676,20.0,0.035903164611899,0.0,0.0
6073.284980957676,20.0,0.03392962136004847,0.0,0.0
6113.284980957676,20.0,0.03206390207937917,0.0,0.0
6153.284980957676,20.0,0.03030024445281451,0.0,0.0
6193.284980957676,20.0,0.028633164881559894,0.0,0.0
6233.284980957676,20.0,0.027057451974246284,0.0,0.0
6273.284980957676,20.0,0.025568158327112414,0.0,0.0
6313.284980957676,20.0,0.0241605911851442,0.0,0.0
6353.284980957676,20.0,0.022830302418498635,0.0,0.0
6393.284980957676,20.0,0.02157307813357927,0.0,0.0
6433.284980957676,20.0,0.02038492815270107,0.0,0.0
6473.284980957676,20.0,0.019262075532508485,0.0,0.0
6513.284980957676,20.0,0.0182009462435451,0.0,0.0
6553.284980957676,20.0,0.017198159097527078,0.0,0.0
6593.284980957676,20.0,0.0162505159819529,0.0,0.0
6633.284980957676,20.0,0.015354992441481361,0.0,0.0
6673.284980957676,20.0,0.014508728630385317,0.0,0.0
6713.284980957676,20.0,0.01370902064911091,0.0,0.0
6753.284980957676,20.0,0.012953312269614119,0.0,0.0
6793.284980957676,20.0,0.012239187048008205,0.0,0.0
6833.284980957676,20.0,0.011564360818604145,0.0,0.0
6873.284980957676,20.0,0.010926674560256321,0.0,0.0
6913.284980957676,20.0,0.010324087623727862,0.0,0.0
6953.284980957676,20.0,0.00975467130732773,0.0,0.0
6993.284980957676,20.0,0.009216602767163296,0.0,0.0
7033.284980957676,20.0,0.00870815924785971,0.0,0.0
7073.284980957676,20.0,0.008227712619414088,0.0,0.0
7113.284980957676,20.0,0.007773724205897539,0.0,0.0
7153.284980957676,20.0,0.0073447398919290596,0.0,0.0
7193.284980957676,20.0,0.006939385493174987,0.0,0.0
7233.284980957676,20.0,0.0065563623775400275,0.0,0.0
7273.284980957676,20.0,0.006194443324183368,0.0,0.0
7313.284980957676,20.0,0.0058524686079954175,0.0,0.0
7353.284980957676,20.0,0.00552934229769184,0.0,0.0
7393.284980957676,20.0,0.005224028756209979,0.0,0.0
7433.284980957676,20.0,0.004935549332620161,0.0,0.0
7473.284980957676,20.0,0.0046629792352842776,0.0,0.0
7513.284980957676,20.0,0.004405444576502168,0.0,0.0
7553.284980957676,20.0,0.004162119579379389,0.0,0.0
7593.284980957676,20.0,0.003932223938126031,0.0,0.0
7633.284980957676,20.0,0.003715020323453824,0.0,0.0
7673.284980957676,20.0,0.003509812025177283,0.0,0.0
7713.284980957676,20.0,0.0033159407245437365,0.0,0.0
7753.284980957676,20.0,0.003132784389216671,0.0,0.0
7793.284980957676,20.0,0.002959755284217408,0.0,0.0
7833.284980957676,20.0,0.002796298092491851,0.0,0.0
7873.284980957676,20.0,0.0026418881391127025,0.0,0.0
7913.284980957676,20.0,0.0024960297134536,0.0,0.0
7953.284980957676,20.0,0.00235825448398083,0.0,0.0
7993.284980957676,20.0,0.0022281200006013203,0.0,0.0
8033.284980957676,20.0,0.0021052082797832134,0.0,0.0
8073.284980957676,20.0,0.0019891244679281976,0.0,0.0
8113.284980957676,20.0,0.001879495578723636,0.0,0.0
8153.284980957676,20.0,0.001775969300438067,0.0,0.0
8193.284980957676,20.0,0.001678212869346562,0.0,0.0
8233.284980957676,20.0,0.0015859120056833124,0.0,0.0
8273.284980957676,20.0,0.0014987699087183647,0.0,0.0
8313.284980957676,20.0,0.0014165063077442002,0.0,0.0
8353.284980957676,20.0,0.0013388565659364297,0.0,0.0
8393.284980957676,20.0,0.0012655708342218346,0.0,0.0
8433.284980957676,20.0,0.001196413252446812,0.0,0.0
8473.284980957676,20.0,0.001131161195290498,0.0,0.0
8513.284980957676,20.0,0.0010696045605099167,0.0,0.0
8553.284980957676,20.0,0.0010115450972398821,0.0,0.0
8593.284980957676,20.0,0.0009567957721984949,0.0,0.0
8633.284980957676,20.0,0.0009051801717703249,0.0,0.0
8673.284980957676,20.0,0.0008565319380541458,0.0,0.0
8713.284980957676,20.0,0.0008106942370707529,0.0,0.0
