time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
12060.0,1.322658877614981e-08,3.0885618349522356e-08,1.4907509777512992e-08,6.461266274237515e-08,1.5254507404994668e-06
12120.0,1.3212416242956612e-08,3.085362514861655e-08,1.49228162845782e-08,6.462658468067887e-08,1.5254803071054843e-06
12180.0,1.3198535651696138e-08,3.082226232583737e-08,1.4937852780387025e-08,6.464021983908798e-08,1.5255092917429017e-06
12240.0,1.3184939995693846e-08,3.079151625541961e-08,1.4952624024819244e-08,6.465357510038692e-08,1.5255377069686027e-06
12300.0,1.317162248571142e-08,3.07613736510388e-08,1.4967134693875637e-08,6.466665713376845e-08,1.5255655650275387e-06
12360.0,1.3158576540607298e-08,3.073182155569383e-08,1.4981389381159564e-08,6.467947240400826e-08,1.5255928778619885e-06
12420.0,1.3145795778529508e-08,3.070284733195107e-08,1.499539259933255e-08,6.46920271801161e-08,1.5256196571204872e-06
12480.0,1.3133274008604768e-08,3.067443865253574e-08,1.500914878154319e-08,6.470432754349995e-08,1.5256459141664436e-06
12540.0,1.3121005223090344e-08,3.064658349125552e-08,1.5022662282831302e-08,6.471637939567522e-08,1.5256716600864532e-06
12600.0,1.3108983589957564e-08,3.06192701142427e-08,1.503593738150669e-08,6.472818846555026e-08,1.5256969056983157e-06
12660.0,1.3097203445878269e-08,3.0592487071502326e-08,1.5048978280503193e-08,6.473976031631577e-08,1.5257216615587842e-06
12720.0,1.3085659289587615e-08,3.0566223188753165e-08,1.506178910870897e-08,6.475110035196473e-08,1.5257459379710377e-06
12780.0,1.3074345775598411e-08,3.054046755955006e-08,1.5074373922272667e-08,6.47622138234669e-08,1.5257697449919014e-06
12840.0,1.3063257708244245e-08,3.0515209537676195e-08,1.508673670588638e-08,6.47731058346203e-08,1.5257930924388213e-06
12900.0,1.3052390036030039e-08,3.0490438729794135e-08,1.5098881374046037e-08,6.478378134760087e-08,1.5258159898965998e-06
12960.0,1.3041737846270433e-08,3.046614498834594e-08,1.5110811772288753e-08,6.479424518822919e-08,1.5258384467239089e-06
13020.0,1.3031296359997727e-08,3.044231840469153e-08,1.5122531678408826e-08,6.48045020509725e-08,1.5258604720595787e-06
13080.0,1.3021060927122345e-08,3.041894930247676e-08,1.5134044803651545e-08,6.481455650369879e-08,1.525882074828683e-06
13140.0,1.3011027021830177e-08,3.039602823122157e-08,1.514535479388613e-08,6.482441299219798e-08,1.5259032637484205e-06
13200.0,1.3001190238202123e-08,3.037354596012003e-08,1.5156465230757556e-08,6.483407584448488e-08,1.5259240473338031e-06
13260.0,1.299154628604227e-08,3.035149347204372e-08,1.516737963281802e-08,6.48435492748973e-08,1.525944433903158e-06
13320.0,1.2982090986902056e-08,3.032986195774062e-08,1.5178101456638573e-08,6.485283738800165e-08,1.5259644315834504e-06
13380.0,1.297282027028872e-08,3.0308642810222426e-08,1.518863409790045e-08,6.486194418231729e-08,1.525984048315439e-06
13440.0,1.2963730170047095e-08,3.0287827619332274e-08,1.519898089246769e-08,6.487087355387098e-08,1.5260032918586568e-06
13500.0,1.2954816820904532e-08,3.0267408166486946e-08,1.520914511744035e-08,6.487962929959058e-08,1.5260221697962418e-06
13560.0,1.2946076455169584e-08,3.0247376419586334e-08,1.5219129992189126e-08,6.488821512054828e-08,1.5260406895396123e-06
13620.0,1.2937505399575556e-08,3.022772452808391e-08,1.522893867937189e-08,6.489663462506109e-08,1.5260588583329887e-06
13680.0,1.2929100072260717e-08,3.0208444818212675e-08,1.5238574285931934e-08,6.490489133165719e-08,1.5260766832577815e-06
13740.0,1.2920856979877536e-08,3.0189529788360285e-08,1.5248039864078775e-08,6.491298867191573e-08,1.5260941712368393e-06
13800.0,1.2912772714823781e-08,3.017097210458809e-08,1.5257338412251495e-08,6.492092999318661e-08,1.5261113290385633e-06
13860.0,1.2904843952588782e-08,3.015276459628879e-08,1.5266472876065277e-08,6.492871856119741e-08,1.5261281632808978e-06
13920.0,1.2897067449208633e-08,3.01349002519776e-08,1.5275446149240998e-08,6.493635756255316e-08,1.526144680435196e-06
13980.0,1.2889440038824553e-08,3.0117372215212136e-08,1.5284261074518567e-08,6.494385010713477e-08,1.5261608868299704e-06
14040.0,1.2881958631338877e-08,3.0100173780636394e-08,1.5292920444554014e-08,6.495119923040165e-08,1.5261767886545282e-06
14100.0,1.2874620210163652e-08,3.008428961312559e-08,1.5300248931840934e-08,6.495840789560323e-08,1.5261923919624955e-06
14160.0,1.2867446209578735e-08,3.0068555895890095e-08,1.530828471486539e-08,6.496545504745483e-08,1.5262078474804086e-06
14220.0,1.2860421566195017e-08,3.0052916831613524e-08,1.531630875043946e-08,6.497235548299875e-08,1.5262232100189907e-06
14280.0,1.285353856474339e-08,3.003742192811283e-08,1.5324239021069017e-08,6.497911678108483e-08,1.5262232100189907e-06
14340.0,1.2846791679558988e-08,3.002197256114194e-08,1.533205518915728e-08,6.498574436967461e-08,1.5262232100189907e-06
14400.0,1.2840175721105557e-08,3.00066589590985e-08,1.5339759755334725e-08,6.499224334654438e-08,1.5262232100189907e-06
14460.0,1.2833686353293674e-08,2.99915328265006e-08,1.534734772568135e-08,6.499861797111403e-08,1.5262232100189907e-06
14520.0,1.282731987050629e-08,2.9976623865681125e-08,1.5354816014907745e-08,6.500487188347886e-08,1.5262232100189907e-06
14580.0,1.2821073009003975e-08,2.9961948584906926e-08,1.5362163289025735e-08,6.501100828966972e-08,1.5262232100189907e-06
14640.0,1.2814942819110838e-08,2.994751546874884e-08,1.536938938794123e-08,6.501703008720719e-08,1.5262232100189907e-06
14700.0,1.2808926580870739e-08,2.993332809452131e-08,1.5376494900746652e-08,6.502293994795387e-08,1.5262232100189907e-06
14760.0,1.28030217482025e-08,2.991938703167996e-08,1.5383480887336446e-08,6.502874037297176e-08,1.5262232100189907e-06
14820.0,1.2797225911424436e-08,2.990569100686874e-08,1.5390348700623712e-08,6.503443372933529e-08,1.5262232100189907e-06
14880.0,1.2791536771617498e-08,2.989223762183597e-08,1.5397099873732254e-08,6.504002227531459e-08,1.5262232100189907e-06
14940.0,1.278595212267115e-08,2.987902379758136e-08,1.5403736048380707e-08,6.504550817801239e-08,1.5262232100189907e-06
